#{"t_start": 1685739311.7708476, "env_id": null}
r,l,t
33011,123,492.525527
26868,112,492.692079
81445,162,492.930442
58551,245,493.302444
43683,166,493.551782
20099,87,493.689414
20265,88,493.832006
27215,128,494.031503
82849,431,494.691709
11149,47,494.773522
40600,110,494.952042
20094,87,495.092664
11315,48,495.172454
49020,165,497.270069
47368,165,497.518404
35337,107,497.680969
52444,185,497.956233
85368,207,498.271391
27049,127,498.469862
42261,118,498.655365
11149,47,498.72917
20265,88,498.8668
20265,88,499.003407
73504,221,499.338302
20099,87,499.481922
20265,88,499.627538
-1037250,1670,503.919366
11164,47,504.001145
24811,77,504.129776
49014,145,504.355929
34020,117,504.542458
53511,197,504.852602
20099,87,505.000212
253376,1013,508.329454
34799,273,508.759305
38180,116,508.940821
97344,307,509.41159
51729,244,509.784565
47073,165,510.041737
96776,224,512.221685
47845,149,512.440074
-4145994,3068,518.794138
24264,113,518.978649
60629,284,519.425456
37684,325,521.781514
39060,124,521.968016
53595,189,522.24425
20114,87,522.378917
20265,88,522.513557
11315,48,522.588357
20265,88,522.72297
27215,128,522.915224
50465,145,523.137628
34949,207,523.45168
44731,164,523.707996
152881,287,524.152807
49874,241,524.526807
79129,191,524.836978
27044,127,526.884399
20265,88,527.020037
11315,48,527.095835
25001,85,527.224491
60800,155,527.455872
11149,47,527.532667
20265,88,527.6693
27215,128,527.868771
27215,128,528.078205
20265,88,528.217836
21714,77,528.339513
14726,791,529.513374
47324,305,531.823174
27129,74,531.940894
19694,407,532.52829
27215,128,532.726787
11315,48,532.805576
37646,125,532.997036
47761,164,533.258338
20104,87,533.398351
20265,88,533.54
36065,248,533.915992
27215,128,534.118426
67245,246,534.504065
11315,48,534.584821
252393,344,536.949233
27166,78,537.070908
27044,127,537.261399
34025,99,537.411995
91303,424,538.040318
27059,127,538.239785
68959,137,538.45222
33906,363,539.004735
57334,201,539.317909
56565,246,539.696894
20104,87,539.842475
-324192,1149,543.360569
11149,47,543.443352
20265,88,543.584947
-256068,965,546.875551
86825,278,547.282464
34949,207,547.584657
36367,146,547.809057
66512,179,548.086313
41044,119,548.276807
36479,532,549.083651
72489,281,549.523475
77589,279,551.788421
35914,247,552.153447
20265,88,552.288217
11315,48,552.370005
39444,113,552.543536
11149,47,552.61731
42223,245,552.986039
11149,47,553.064829
67542,150,553.293293
36065,248,553.679016
63169,278,554.105875
81960,377,556.530303
74113,177,556.792609
135652,312,557.248384
55009,146,557.481761
25526,84,557.623354
72885,280,558.039548
27049,127,558.238018
105767,317,558.713718
60705,150,558.951085
27044,127,559.153542
11315,48,559.234355
20265,88,559.377943
11315,48,559.458758
20265,88,559.597659
51140,165,561.688626
11315,48,561.765422
42745,107,561.925992
32879,123,562.108504
40706,112,562.281044
93696,378,562.83955
56514,182,563.119802
114648,396,563.724158
59327,201,564.036328
27215,128,564.252307
70562,251,564.643229
34844,287,566.90588
42649,118,567.082408
20099,87,567.21702
99806,315,567.690781
53767,237,568.052814
37466,158,568.297162
57449,202,568.6093
53111,140,568.833727
49232,192,569.13689
165819,343,571.50487
32165,168,571.754204
32165,168,572.000548
50036,400,572.589971
11149,47,572.66876
24811,77,572.792429
11144,47,572.868228
11315,48,572.949012
70092,188,573.235242
20114,87,573.379861
50170,365,573.93438
11149,47,574.016159
36855,154,574.255493
62922,271,576.521367
43341,113,576.69687
47000,165,576.937227
11315,48,577.016043
11315,48,577.088849
49624,145,577.303281
20094,87,577.44088
23357,84,577.573527
58411,187,577.854775
126891,651,578.852139
57790,205,579.171286
20265,88,579.313903
39629,113,579.490431
11149,47,579.572186
44091,350,581.922407
29570,94,582.071011
13423,72,582.182706
20099,87,582.315353
46065,154,582.551722
20099,87,582.690351
27215,128,582.884803
65224,233,583.241428
27049,127,583.44289
61831,237,583.813898
43370,164,584.071245
24512,79,584.201889
11144,47,584.277686
11315,48,584.357272
-19216381,5962,598.661633
27049,127,598.866081
39840,125,599.068515
51791,187,601.204259
38099,153,601.432649
21242,74,601.550341
84153,253,601.919348
20099,87,602.058948
-125063,914,603.444246
-13451,527,606.097904
205926,541,606.909943
21661,76,607.029625
27044,127,607.22909
11315,48,607.308687
24482,73,607.425404
74902,547,608.239229
38583,214,608.568345
98203,398,611.025641
52134,205,611.327829
109394,246,611.681856
24799,73,611.795575
25828,84,611.928226
24918,84,612.060871
41802,244,612.42689
41139,485,613.150958
-61597,898,616.349524
77779,324,616.816274
85323,183,617.090517
58366,266,617.488482
56525,233,617.852479
11149,47,617.931298
32165,168,618.188611
62802,245,618.571639
34178,116,618.762134
20099,87,618.901757
19215,74,619.022406
33306,633,621.773848
11315,48,621.856621
24415,114,622.032127
31994,167,622.288465
25399,113,622.471952
20099,87,622.605623
35628,151,622.848972
11149,47,622.928762
11315,48,623.006523
40131,119,623.189035
34964,207,623.50929
72341,219,623.851377
11149,47,623.935154
41299,205,626.078469
57868,158,626.312842
-46225,617,627.213436
-45551,607,628.122977
11315,48,628.207776
44194,195,628.514964
27049,127,628.721378
48791,275,631.015833
34949,207,631.316031
47113,166,631.565364
27054,127,631.758844
39777,125,631.953299
42765,325,632.440029
25488,84,632.574668
167767,376,633.138134
37683,164,633.393475
33463,113,633.577984
20099,87,633.721602
27215,128,633.924034
65011,285,636.181539
55827,227,636.518638
33549,193,636.808862
39242,123,637.004367
44310,129,637.204805
72154,227,637.551904
20099,87,637.694523
27215,128,637.890998
42746,165,638.152273
34246,112,638.335806
21832,85,638.476434
27054,127,638.682854
27215,128,638.887307
43702,165,640.982767
11149,47,641.058537
20265,88,641.190212
25649,85,641.318868
42958,118,641.496394
55211,228,641.83945
11149,47,641.918266
25851,84,642.048889
54824,204,642.365072
94071,819,643.584813
53771,189,643.894984
24311,72,645.857346
77265,313,646.317112
34949,207,646.616317
27895,114,646.794841
25920,83,646.926461
11149,47,647.003256
55024,193,647.293508
11149,47,647.375289
85067,270,647.787189
-60808023,10430,672.49234
35115,208,672.823456
11315,48,672.903242
23445,96,673.065808
34944,207,675.238008
37367,110,675.406552
31994,167,675.656883
11315,48,675.732682
35115,208,676.035871
20265,88,676.175498
20265,88,676.319114
42469,148,676.540528
24789,84,676.675163
20104,87,676.812801
73152,325,677.306478
27049,127,677.516885
46598,139,677.732332
52277,204,678.053475
20265,88,678.197095
-407563,1108,681.65628
36509,153,681.892647
27064,127,682.094079
25851,84,682.231711
38470,124,682.429183
35115,208,682.754345
-97735,1075,686.177162
25861,83,686.313796
24712,84,686.448436
26878,75,686.568145
11149,47,686.645937
20265,88,686.783566
11315,48,686.861335
47221,205,687.172503
-3440807,2746,693.074303
