#{"t_start": 1685736041.1088688, "env_id": null}
r,l,t
11149,47,144.265938
11315,48,144.340773
-141367,926,145.563671
11154,47,145.628499
105155,434,146.201559
11315,48,146.2739
11315,48,146.343195
11315,48,146.415596
37437,108,146.570745
11149,47,146.64528
11315,48,146.719085
11315,48,146.788898
11315,48,146.859737
11315,48,146.929581
11315,48,147.001389
11315,48,147.072201
11315,48,147.139961
-108535,728,148.11711
30786,193,148.382431
11149,47,148.453242
-80305129,11686,164.001659
31804,327,164.455364
52360,199,164.738039
31994,167,164.975059
11315,48,165.039886
11315,48,165.116706
11315,48,165.188547
11315,48,165.263352
11315,48,165.336184
44155,602,166.132813
59536,152,166.348365
11315,48,166.427158
11315,48,166.496536
11315,48,166.568384
11315,48,166.640224
11315,48,166.712539
11315,48,166.784317
24329,96,166.925228
11149,47,166.998033
11315,48,167.069948
13594,73,167.179841
11149,47,167.251647
11315,48,167.323602
33258,109,167.483434
126936,220,167.789602
27044,127,167.969465
11315,48,168.035289
11315,48,168.107087
11315,48,168.179411
-23230131,6069,176.264372
11149,47,176.341268
32165,168,176.584474
11315,48,176.660431
39887,113,176.82698
81461,384,177.338365
11149,47,177.412262
11315,48,177.485035
11315,48,177.555418
58794,139,177.751963
11329,48,177.826319
-4063135,2808,181.494958
8665,48,181.570755
11315,48,181.648577
11315,48,181.721383
25130,108,181.883645
62008,138,182.077687
53761,147,182.294287
37029,125,182.469779
52013,485,183.117331
11315,48,183.191671
11315,48,183.262485
244778,448,183.883993
35899,247,184.241103
11315,48,184.314903
36065,248,184.679724
11315,48,184.753071
100984,563,185.530761
21656,76,185.646331
-45556,607,186.441704
24286,78,186.560418
11149,47,186.631295
46918,109,186.786627
11144,47,186.858435
11315,48,186.930757
-1121635,1608,189.028673
89730,238,189.358391
27049,127,189.5422
11315,48,189.623158
37077,125,189.803748
11154,47,189.868606
143269,269,190.238248
11149,47,190.310296
11315,48,190.383102
11315,48,190.45348
11315,48,190.529277
11315,48,190.598124
11315,48,190.670369
11315,48,190.744172
11315,48,190.812553
35015,288,191.203293
11315,48,191.27709
11315,48,191.349464
41268,111,191.506244
20094,87,191.634582
11315,48,191.70539
24811,77,191.819156
9694,47,191.889976
11315,48,191.969414
11315,48,192.041223
-146864,805,193.088754
20099,87,193.216476
11315,48,193.292271
20265,88,193.41951
11315,48,193.490321
11315,48,193.564068
11315,48,193.63355
11315,48,193.701395
11315,48,193.776702
13594,73,193.882942
82405,547,194.599689
30259,113,194.76229
11164,47,194.841615
11315,48,194.910463
55270,154,195.12355
11164,47,195.189401
67962,405,195.724195
96615,206,196.007497
11164,47,196.080308
62108,133,196.27391
34797,152,196.488399
111889,319,196.912458
35894,247,197.281593
11315,48,197.34639
-52347538,9649,210.250317
11144,47,210.333127
11315,48,210.416448
11315,48,210.496229
27215,128,210.701432
35015,288,211.094754
75267,306,211.538084
