#{"t_start": 1685734233.8941262, "env_id": null}
r,l,t
33143,125,434.291399
11149,47,434.376958
47713,204,434.705313
38081,165,434.97056
112847,341,437.353179
21944,522,438.123894
76443,266,438.528356
79792,224,438.891498
124223,265,439.314453
20099,87,439.467414
55287,204,439.801587
51009,165,441.960284
44701,113,442.141955
105509,318,442.615864
51094,164,442.870749
11315,48,442.954495
39060,139,443.179528
61603,507,443.955957
11144,47,444.039706
11315,48,444.127039
32165,168,444.399862
35115,208,444.730006
49658,319,447.130266
27049,127,447.331894
35015,288,447.761605
20265,88,447.903021
20265,88,448.04467
27215,128,448.247493
39435,155,448.505428
18921,485,449.241206
57894,171,449.519382
63546,314,450.01235
68245,363,452.466529
11154,47,452.543325
35115,208,452.865656
11315,48,452.946439
11315,48,453.027223
11315,48,453.104144
11315,48,453.186489
70156,239,453.54316
11149,47,453.624913
53220,245,454.011246
42169,173,454.299536
36906,124,454.504063
60307,131,454.716559
11144,47,454.805291
32165,168,455.07928
27215,128,455.292317
57884,191,457.496435
27049,127,457.69453
39081,156,457.931699
20099,87,458.078939
25178,113,458.256436
29579,104,458.418274
116188,353,458.952734
35894,247,459.344817
20265,88,459.497417
11315,48,459.587041
20265,88,459.736207
20265,88,459.89551
29745,105,460.072067
27049,127,460.287616
11315,48,460.370958
11315,48,460.457758
81615,190,462.638599
37763,165,462.897482
-102129,726,463.975646
57391,187,464.266578
119497,662,465.294449
48640,138,465.523492
20099,87,465.69005
25001,85,467.70848
32642,125,467.90568
42937,233,468.258693
24547,76,468.382873
11144,47,468.461666
65009,170,468.72969
39966,204,469.050455
47102,165,469.311786
35115,208,469.638048
32165,168,469.911444
20265,88,470.066127
20265,88,470.225341
53185,140,470.452816
13744,73,470.580978
11144,47,470.66179
20265,88,470.822407
5983,525,473.482359
43869,165,473.734731
64345,195,474.034489
29495,192,474.341715
24316,72,474.471398
98075,373,475.046957
78958,275,475.48949
11149,47,475.576262
27215,128,475.79211
112134,338,478.198013
42160,165,478.451974
31834,152,478.683683
19699,407,479.289332
-45385,608,480.224566
84339,268,480.653432
31999,167,480.925307
54078,158,483.062214
-57471,915,484.404922
16549,73,484.52464
11144,47,484.60299
11315,48,484.68178
38371,164,484.940626
55810,205,485.268968
20265,88,485.418111
32165,168,485.685514
29155,108,485.866103
31994,167,488.013948
20265,88,488.154719
58774,152,488.395082
29794,104,488.559249
11268,718,489.635609
11164,47,489.720354
36065,248,490.108912
45507,365,490.681833
21357,77,490.817474
36493,395,493.32148
216489,385,493.905104
19694,407,494.514412
24261,75,494.649585
43136,165,494.915862
50407,165,495.190691
52215,159,495.44792
16599,73,495.583125
19592,604,498.469404
11315,48,498.552186
43476,113,498.729316
35899,247,499.107084
64394,189,499.394174
-158837,908,500.825292
76860,197,501.151798
20099,87,501.291426
33241,126,503.349112
56654,202,503.656264
60604,383,504.225012
73386,281,504.653432
20095,112,504.828935
11149,47,504.909748
11315,48,504.987546
32165,168,505.248406
22523,113,505.430438
20265,88,505.57408
26887,77,505.699744
38939,124,505.897755
84345,222,506.245359
41035,356,508.670265
20099,87,508.806933
32394,233,509.151055
25773,83,509.278307
27049,127,509.477746
11315,48,509.556535
-82521,1027,511.109217
53861,134,511.323988
25349,84,511.465911
49593,164,513.599356
64352,221,513.925485
117609,1003,515.403368
25833,84,515.541771
20099,87,515.689404
11315,48,515.770188
11315,48,515.84901
43769,117,516.040035
27049,127,516.244488
11315,48,516.325273
11315,48,516.404063
11315,48,516.485844
46470,111,518.613505
-1467843,2344,524.019817
68548,148,524.241821
27215,128,524.436301
34285,109,524.604856
11144,47,524.680655
11315,48,524.75542
139939,272,525.176452
82920,190,525.473693
34964,207,525.79547
20265,88,525.944074
20265,88,526.089684
11315,48,526.172465
20265,88,526.315081
11315,48,526.402847
37900,166,526.663158
27049,127,528.740809
11315,48,528.816253
-336159,1575,531.181803
20099,87,531.327446
20265,88,531.474055
82751,224,533.700062
43287,164,533.9484
27049,127,534.140883
20265,88,534.272532
24871,86,534.405714
13754,73,534.523399
11144,47,534.59726
24960,85,534.726886
20104,87,534.861561
20265,88,534.995792
20265,88,535.131429
35115,208,535.44559
11315,48,535.529366
11315,48,535.613144
36650,120,535.802636
33103,124,536.000615
28289,155,536.245994
38119,124,536.445033
57448,144,536.675518
45131,155,538.79062
20099,87,538.925261
