#{"t_start": 1685775315.2208188, "env_id": null}
r,l,t
10815,48,96.904242
-182707,189,97.123249
-772040,444,97.615063
-485,88,97.719783
10815,48,97.780621
-755710,386,98.206482
-651,87,98.311234
10815,48,98.371076
10815,48,98.430914
-437922,306,98.767215
10649,47,98.831579
-76385,74,98.925892
10644,47,98.986729
-26289,75,99.077489
-114000,112,99.214093
-303902,284,99.548229
-83246,167,99.739716
-1157165,469,100.253034
10644,47,100.310444
-488285,328,100.677563
-256159,282,101.003691
10649,47,101.059542
10815,48,101.125366
-28153,97,101.242054
-31951,127,101.392652
10815,48,101.458013
-48764,73,101.547805
-12327,165,101.746253
1762,77,101.847006
10644,47,101.909841
-31185,166,102.104901
10815,48,102.16873
10815,48,102.23353
18945,126,102.385151
-404188,354,102.795059
-225196,277,103.114971
25328,86,103.218725
-651,87,103.332455
-31785,128,103.492559
-485,88,103.59884
4033,111,103.735477
-30397,213,103.987802
-656,87,104.093519
25257,86,104.199236
-28021,138,104.364795
-64278,205,104.606213
-337915,233,104.871486
-315656,324,105.240065
-83085,168,105.438507
-1120821,576,106.080452
10664,47,106.144281
-9610,165,106.3313
-83085,168,106.528359
10815,48,106.589721
10815,48,106.658537
10815,48,106.72137
19030,126,106.873963
-485,88,106.982671
10815,48,107.045503
-23068,73,107.142245
-651,87,107.25292
-568832,361,107.657434
-651,87,107.770132
10815,48,107.830972
10815,48,107.894117
1965,74,107.988437
-656,87,108.097679
16639,125,108.241908
-651,87,108.351175
-154385,208,108.592529
10815,48,108.659352
-154385,208,108.892727
10815,48,108.95955
-9985,165,109.147047
-51605,75,109.243789
-656,87,109.354557
10535,226,109.602921
-31785,128,109.758069
-485,88,109.86675
-56150,205,110.103148
10815,48,110.161989
-48966,192,110.390379
-154551,207,110.626747
-485,88,110.743999
-707670,252,111.032207
26598,79,111.150892
-651,87,111.259601
-1093510,498,111.807172
24475,84,111.910893
10654,47,111.975718
-74813,73,112.069468
-154551,207,112.305836
-63663,140,112.473454
10649,47,112.537256
-218632,284,112.858025
-103585,74,112.950871
10644,47,113.013267
-83085,168,113.21074
-617628,416,113.669513
-636,87,113.779192
-245685,248,114.074552
-11881,164,114.273587
10649,47,114.340412
10815,48,114.403244
-56463,195,114.633228
-656,87,114.747491
10815,48,114.812881
10815,48,114.87272
17007,126,115.022319
-31785,128,115.172919
-243966,221,115.425244
16933,125,115.57285
-31785,128,115.735984
10815,48,115.80181
-180164,193,116.026244
-33295,165,116.22261
-1292059,405,116.67197
-7662027,1152,117.936857
-1585152,553,118.565179
-651,87,118.67688
-485,88,118.790626
17031,124,118.945228
-61641,202,119.17839
10654,47,119.243751
-154385,208,119.48667
10815,48,119.554485
10815,48,119.614328
10815,48,119.679125
1881,79,119.785839
-656,87,119.90056
-44445,114,120.038193
-2780,147,120.206742
-651,87,120.320481
10815,48,120.379315
-31785,128,120.525982
-243505,309,120.870627
10649,47,120.933459
-1021790,263,121.229668
-31785,128,121.38625
-31785,128,121.538842
-402874,221,121.781756
-636,87,121.891493
-453454,364,122.300447
10815,48,122.366833
-31785,128,122.524439
-245685,248,122.816658
-284118,222,123.071976
-320058,173,123.268016
-70791,157,123.454548
-970031,485,124.000699
-6750159,1142,125.260694
-651,87,125.37639
14933,126,125.524995
10654,47,125.593663
-485,88,125.708389
10815,48,125.771442
10815,48,125.831281
-485,88,125.941494
15874,125,126.088666
-244308,286,126.417787
-31946,127,126.573372
-154385,208,126.808743
-66584,154,126.985865
-221178,317,127.343971
-70069,197,127.570718
11930,197,127.798673
-357151,287,128.132783
-31785,128,128.286369
10815,48,128.345212
1325,114,128.496807
-636,87,128.607048
10815,48,128.673903
-160054,280,128.993082
10815,48,129.056911
-485,88,129.161631
-117985,96,129.281312
-53192,73,129.376059
-83251,167,129.571537
-74813,73,129.670272
10649,47,129.733111
10815,48,129.793941
10815,48,129.855776
10815,48,129.91462
-485,88,130.023865
-31785,128,130.179482
-485,88,130.284551
-485,88,130.39426
-9311,161,130.582206
-120529,105,130.708431
-31956,127,130.852607
-880237,385,131.28097
-834666,327,131.653972
10649,47,131.716805
-485,88,131.825078
16471,125,131.980693
10649,47,132.042559
10815,48,132.108383
-31785,128,132.263001
10815,48,132.32936
10815,48,132.390198
10815,48,132.449412
10815,48,132.510809
10815,48,132.572649
-103535,74,132.664907
-31956,127,132.811515
10815,48,132.870358
-3005056,749,133.685559
-651,87,133.793275
10815,48,133.856109
-485,88,133.968682
10815,48,134.031543
-245685,248,134.313794
-485,88,134.428486
-31785,128,134.601023
-231879,138,134.766581
10659,47,134.825424
25543,85,134.92971
-651,87,135.036986
-195967,246,135.324729
-646,87,135.42848
-83085,168,135.630289
-94723,237,135.902704
24998,84,136.013973
-184322,149,136.187509
10649,47,136.24735
12760,188,136.46776
10649,47,136.528599
10815,48,136.590432
-485,88,136.699142
10815,48,136.761974
10815,48,136.825834
-2577212,629,137.529313
-113727,94,137.644255
10644,47,137.713071
-413906,400,138.173842
15546,125,138.324444
10654,47,138.391258
10815,48,138.454091
-154385,208,138.697443
-214800,283,139.021735
-122973,270,139.327486
10644,47,139.389291
-132350,225,139.661223
10815,48,139.729042
-574376,263,140.029804
-726715,379,140.460269
-76601,73,140.563992
10644,47,140.6273
